,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C01038,21.435476652245264,7.380277487692078,0,4.996568700581829,0.6776070416231539,0,0,0,0,53.16179303099282,7.055857117842759,0,4.53773419716337,3.451234459814393,0,0,0,0,0,0,0,0,0,0,0,0,0
C01039,20.785916753692376,7.156632715337773,0,4.845157527836925,0.6570734949073007,0,0,0,0,41.87401505865873,5.557695675013132,0,3.5742426895464896,2.7184381019085975,0,0,0,0,0,0,0,0,0,0,0,0,0
C01040,32.80277487692078,11.294061003892423,0,7.646264223617647,1.036944109150584,0,0,0,0,48.7923305900893,6.475923656102259,0,4.1647697426019965,3.167571353528279,0,0,0,0,0,0,0,0,0,0,0,0,0
C01041,10.068178427569745,3.466493971491734,0,2.3468731775460103,0.3182699740957238,0,0,0,0,50.612939940465765,6.717562598494134,0,4.320171598669235,3.285764314480826,0,0,0,0,0,0,0,0,0,0,0,0,0
C01042,6.820378934805311,2.348270109720207,0,1.589817313821491,0.21560224051645804,0,0,0,0,20.390824724216422,2.706356154789004,0,1.7405007879530732,1.3237611626685344,0,0,0,0,0,0,0,0,0,0,0,0,0
C01043,15.589437565269282,5.36747453650333,0,3.6338681458776936,0.49280512118047554,0,0,0,0,33.499212046926985,4.446156540010506,0,2.8593941516371917,2.174750481526878,0,0,0,0,0,0,0,0,0,0,0,0,0
C01044,15.914217514545726,5.479296922680483,0,3.7095737322501456,0.5030718945384021,0,0,0,0,64.44957100332691,8.554018560672386,0,5.501225704780249,4.184030817720189,0,0,0,0,0,0,0,0,0,0,0,0,0
C02001,12.341638072504848,4.249250674731803,0,2.876812282153174,0.3901373876012098,0,0,0,0,66.27018035370338,8.795657503064263,0,5.656627560847488,4.302223778672737,0,0,0,0,0,0,0,0,0,0,0,0,0
C02002,41.89661345666119,14.425087816852699,0,9.766020642046302,1.324413763172528,0,0,0,0,39.68928383820697,5.267728944142882,0,3.387760462265803,2.57660654876554,0,0,0,0,0,0,0,0,0,0,0,0,0
C02003,29.87975533343279,10.287659528298049,0,6.964913946265579,0.9445431489292447,0,0,0,0,61.900717912799855,8.21572404132376,0,5.283663106286115,4.018560672386622,0,0,0,0,0,0,0,0,0,0,0,0,0
C02004,12.991197971057735,4.472895447086108,0,3.028223454898078,0.4106709343170629,0,0,0,0,54.618280511293996,7.24916827175626,0,4.66205568201716,3.5457888285764314,0,0,0,0,0,0,0,0,0,0,0,0,0
C02005,25.332836043562583,8.72214612181791,0,5.905035737051252,0.8008083219182728,0,0,0,0,64.8136928734022,8.602346349150762,0,5.532306075993697,4.207669409910698,0,0,0,0,0,0,0,0,0,0,0,0,0
C02006,21.11069670296882,7.268455101514926,0,4.920863114209377,0.6673402682652273,0,0,0,0,54.618280511293996,7.24916827175626,0,4.66205568201716,3.5457888285764314,0,0,0,0,0,0,0,0,0,0,0,0,0
C02007,23.05937639862748,7.939389418577842,0,5.375096632444088,0.7289409084127867,0,0,0,0,46.243477499562246,6.137629136753633,0,3.947207144107862,3.002101208194712,0,0,0,0,0,0,0,0,0,0,0,0,0
C02008,21.11069670296882,7.268455101514926,0,4.920863114209377,0.6673402682652273,0,0,0,0,55.71064612151987,7.394151637191385,0,4.755296795657503,3.61670460514796,0,0,0,0,0,0,0,0,0,0,0,0,0
C02009,28.580635536327016,9.840369983589438,0,6.662091600775772,0.9034760554975385,0,0,0,0,32.04272456662581,4.252845386097006,0,2.7350726667834007,2.0801961127648396,0,0,0,0,0,0,0,0,0,0,0,0,0
C02010,67.22944950022378,23.14723393867061,0,15.671056379097553,2.1252220850908006,0,0,0,0,32.4068464367011,4.301173174575381,0,2.7661530379968484,2.103834704955349,0,0,0,0,0,0,0,0,0,0,0,0,0
C02011,65.28076980456513,22.476299621607694,0,15.216822860862841,2.0636214449432413,0,0,0,0,43.3305025389599,5.7510068289266325,0,3.69856417440028,2.8129924706706353,0,0,0,0,0,0,0,0,0,0,0,0,0
C02012,36.050574369685215,12.41228486566395,0,8.403320087342166,1.1396118427298496,0,0,0,0,57.16713360182104,7.587462791104885,0,4.879618280511294,3.711258973909998,0,0,0,0,0,0,0,0,0,0,0,0,0
C02013,47.74265254363718,16.43789076804145,0,11.128721196750437,1.5092156836152064,0,0,0,0,45.15111188933637,5.992645771318508,0,3.853966030467519,2.931185431623183,0,0,0,0,0,0,0,0,0,0,0,0,0
C02014,26.9567357899448,9.281258052703674,0,6.283563668913512,0.8521421887079056,0,0,0,0,78.28620206618805,10.390474522850639,0,6.682279810891263,5.082297320959552,0,0,0,0,0,0,0,0,0,0,0,0,0
C02015,19.486796956586602,6.709343170629162,0,4.5423351823471165,0.6160064014755944,0,0,0,0,55.71064612151987,7.394151637191385,0,4.755296795657503,3.61670460514796,0,0,0,0,0,0,0,0,0,0,0,0,0
